Nickname,Effect Name,Effect Type,Identifier,Ability Description,Ability Phase,Timeline Condition,Use/Attach,After Use,Code,Set Number,Edition Number,Card Number,Release
Knife,KNIFE,Offensive,Item,Gain +2 ATK.,Both,None,Attach,Discard,S000-E01-N001,S000,E01,N001,v1.0
Snipe,SNIPE,Offensive,Skill,Ignore SHD and deal DMG to HP instead. Exhaust.,Offense,None,Attach,Exhaust,S000-E01-N002,S000,E01,N002,v1.0
Mortar,MORTAR,Offensive,Item,Deal 1 DMG to all Revealed enemy Entities.,Offense,None,Use,Discard,S000-E01-N003,S000,E01,N003,v1.0
Bite,BITE,Offensive,Skill,Gain +1 ATK and Heal 1 SHD upon hit.,Offense,None,Attach,Discard,S000-E01-N004,S000,E01,N004,v1.0
Lance,LANCE,Offensive,Item,Gain +3 ATK. Exhaust.,Offense,None,Attach,Discard,S000-E01-N005,S000,E01,N005,v1.0
Energizer,ENERGIZER,Offensive,Item,Reveal an ally Entity without activating their Ability,Offense,Immediate,Use,Discard,S000-E01-N006,S000,E01,N006,v1.0
Dart,DART,Offensive,Status,Apply Fatigued to an Entity.,Offense,None,Attach,Discard,S000-E01-N007,S000,E01,N007,v1.0
Sludge,SLUDGE,Offensive,Status,Apply Poisoned to an Entity.,Offense,None,Attach,Discard,S000-E01-N008,S000,E01,N008,v1.0
Flash Freeze,FLASH FREEZE,Offensive,Status,Apply Frozen to an Entity.,Offense,None,Attach,Discard,S000-E01-N009,S000,E01,N009,v1.0
Taunt,TAUNT,Offensive,Status,Apply Aggro to an Entity.,Offense,None,Attach,Discard,S000-E01-N010,S000,E01,N010,v1.0
Plate,PLATE,Defensive,Item,Gain +2 SHD.,Both,None,Attach,Discard,S000-E01-N011,S000,E01,N011,v1.0
Syringe,SYRINGE,Defensive,Item,Remove a Status from one Entity.,Both,None,Attach,Discard,S000-E01-N012,S000,E01,N012,v1.0
Barricade,BARRICADE,Defensive,Item,Immune to all DMG. Exhaust.,Both,None,Use,Exhaust,S000-E01-N013,S000,E01,N013,v1.0
Medkit,MEDKIT,Defensive,Item,Heal +3 SHD.,Both,None,Attach,Discard,S000-E01-N014,S000,E01,N014,v1.0
Mask,MASK,Defensive,Item,Negate any Statuses applied this Phase.,Defense,None,Use,Discard,S000-E01-N015,S000,E01,N015,v1.0
Dome,DOME,Defensive,Item,Immune to Overdamage.,Defense,None,Use,Discard,S000-E01-N016,S000,E01,N016,v1.0
Rally,RALLY,Defensive,Skill,"If your Synergy is activated, Negate all Effect cards played by the opponent.",Defense,None,Use,Discard,S000-E01-N017,S000,E01,N017,v1.0
Whistle,WHISTLE,Defensive,Item,Negate an Entity's Ability.,Defense,None,Attach,Discard,S000-E01-N018,S000,E01,N018,v1.0
Stop Sign,STOP SIGN,Defensive,Item,Negate the first Effect card played by the opponent. Immediate Effect cards aren't affected.,Defense,None,Use,Discard,S000-E01-N019,S000,E01,N019,v1.0
Pills,PILLS,Defensive,Status,Apply Resistant to an Entity.,Offense,None,Attach,Discard,S000-E01-N020,S000,E01,N020,v1.0
Switcheroo,SWITCHEROO,Special,Skill,Invert ATK and SHD.,Both,None,Attach,Discard,S000-E01-N021,S000,E01,N021,v1.0
Smoke Grenade,SMOKE GRENADE,Special,Item,Hide all of your Revealed ally Entities.,Offense,None,Use,Discard,S000-E01-N022,S000,E01,N022,v1.0
Cape,CAPE,Special,Item,Hide an Entity.,Offense,None,Attach,Discard,S000-E01-N023,S000,E01,N023,v1.0
Magnifying Glass,MAGNIFYING GLASS,Special,Item,Reveal an enemy Entity without activating their Ability.,Both,Immediate,Use,Discard,S000-E01-N024,S000,E01,N024,v1.0
Recon,RECON,Special,Skill,Reveal the opponent's hand.,Both,Immediate,Use,Discard,S000-E01-N025,S000,E01,N025,v1.0
Reshuffler,RESHUFFLER,Special,Item,"Opponent puts their hand back into their Effect deck, shuffles, and draws 2 Effect cards.",Both,Immediate,Use,Discard,S000-E01-N026,S000,E01,N026,v1.0
Treasure,TREASURE,Special,Item,Draw 1 Effect card.,Both,Immediate,Use,Discard,S000-E01-N027,S000,E01,N027,v1.0
Disguise,DISGUISE,Special,Item,Changes the ally Entity's Set into a set of a Revealed Entity this Phase.,Both,None,Attach,Discard,S000-E01-N028,S000,E01,N028,v1.0
Plug-in,PLUG-IN,Special,Item,Transfer a Status onto one of your Entities.,Both,None,Use,Discard,S000-E01-N029,S000,E01,N029,v1.0
Recycle,RECYCLE,Special,Skill,Search your Discard pile and take 1 Effect card into your hand.,Both,Immediate,Use,Discard,S000-E01-N030,S000,E01,N030,v1.0
